# imt=PGA,investigation_time=50.0,lon=-76.5,lat=-11.21,poe=0.0500000,iml=-1.0000000e+00
Mag,Dist,poe
4.10000E+00,5.00000E+00,0.00000E+00
4.10000E+00,1.50000E+01,0.00000E+00
4.10000E+00,2.50000E+01,0.00000E+00
4.10000E+00,3.50000E+01,0.00000E+00
4.10000E+00,4.50000E+01,0.00000E+00
4.10000E+00,5.50000E+01,0.00000E+00
4.10000E+00,6.50000E+01,0.00000E+00
4.10000E+00,7.50000E+01,0.00000E+00
4.10000E+00,8.50000E+01,0.00000E+00
4.10000E+00,9.50000E+01,0.00000E+00
4.10000E+00,1.05000E+02,0.00000E+00
4.10000E+00,1.15000E+02,0.00000E+00
4.10000E+00,1.25000E+02,0.00000E+00
4.10000E+00,1.35000E+02,0.00000E+00
4.10000E+00,1.45000E+02,0.00000E+00
4.10000E+00,1.55000E+02,0.00000E+00
4.10000E+00,1.65000E+02,0.00000E+00
4.10000E+00,1.75000E+02,0.00000E+00
4.10000E+00,1.85000E+02,0.00000E+00
4.10000E+00,1.95000E+02,0.00000E+00
4.10000E+00,2.05000E+02,0.00000E+00
4.10000E+00,2.15000E+02,0.00000E+00
4.10000E+00,2.25000E+02,0.00000E+00
4.10000E+00,2.35000E+02,0.00000E+00
4.10000E+00,2.45000E+02,0.00000E+00
4.10000E+00,2.55000E+02,0.00000E+00
4.10000E+00,2.65000E+02,0.00000E+00
4.10000E+00,2.75000E+02,0.00000E+00
4.10000E+00,2.85000E+02,0.00000E+00
4.10000E+00,2.95000E+02,0.00000E+00
4.10000E+00,3.05000E+02,0.00000E+00
4.10000E+00,3.15000E+02,0.00000E+00
4.10000E+00,3.25000E+02,0.00000E+00
4.10000E+00,3.35000E+02,0.00000E+00
4.10000E+00,3.45000E+02,0.00000E+00
4.30000E+00,5.00000E+00,0.00000E+00
4.30000E+00,1.50000E+01,0.00000E+00
4.30000E+00,2.50000E+01,0.00000E+00
4.30000E+00,3.50000E+01,0.00000E+00
4.30000E+00,4.50000E+01,0.00000E+00
4.30000E+00,5.50000E+01,0.00000E+00
4.30000E+00,6.50000E+01,0.00000E+00
4.30000E+00,7.50000E+01,0.00000E+00
4.30000E+00,8.50000E+01,0.00000E+00
4.30000E+00,9.50000E+01,0.00000E+00
4.30000E+00,1.05000E+02,0.00000E+00
4.30000E+00,1.15000E+02,0.00000E+00
4.30000E+00,1.25000E+02,0.00000E+00
4.30000E+00,1.35000E+02,0.00000E+00
4.30000E+00,1.45000E+02,0.00000E+00
4.30000E+00,1.55000E+02,0.00000E+00
4.30000E+00,1.65000E+02,0.00000E+00
4.30000E+00,1.75000E+02,0.00000E+00
4.30000E+00,1.85000E+02,0.00000E+00
4.30000E+00,1.95000E+02,0.00000E+00
4.30000E+00,2.05000E+02,0.00000E+00
4.30000E+00,2.15000E+02,0.00000E+00
4.30000E+00,2.25000E+02,0.00000E+00
4.30000E+00,2.35000E+02,0.00000E+00
4.30000E+00,2.45000E+02,0.00000E+00
4.30000E+00,2.55000E+02,0.00000E+00
4.30000E+00,2.65000E+02,0.00000E+00
4.30000E+00,2.75000E+02,0.00000E+00
4.30000E+00,2.85000E+02,0.00000E+00
4.30000E+00,2.95000E+02,0.00000E+00
4.30000E+00,3.05000E+02,0.00000E+00
4.30000E+00,3.15000E+02,0.00000E+00
4.30000E+00,3.25000E+02,0.00000E+00
4.30000E+00,3.35000E+02,0.00000E+00
4.30000E+00,3.45000E+02,0.00000E+00
4.50000E+00,5.00000E+00,0.00000E+00
4.50000E+00,1.50000E+01,0.00000E+00
4.50000E+00,2.50000E+01,0.00000E+00
4.50000E+00,3.50000E+01,0.00000E+00
4.50000E+00,4.50000E+01,0.00000E+00
4.50000E+00,5.50000E+01,0.00000E+00
4.50000E+00,6.50000E+01,0.00000E+00
4.50000E+00,7.50000E+01,0.00000E+00
4.50000E+00,8.50000E+01,0.00000E+00
4.50000E+00,9.50000E+01,0.00000E+00
4.50000E+00,1.05000E+02,0.00000E+00
4.50000E+00,1.15000E+02,0.00000E+00
4.50000E+00,1.25000E+02,0.00000E+00
4.50000E+00,1.35000E+02,0.00000E+00
4.50000E+00,1.45000E+02,0.00000E+00
4.50000E+00,1.55000E+02,0.00000E+00
4.50000E+00,1.65000E+02,0.00000E+00
4.50000E+00,1.75000E+02,0.00000E+00
4.50000E+00,1.85000E+02,0.00000E+00
4.50000E+00,1.95000E+02,0.00000E+00
4.50000E+00,2.05000E+02,0.00000E+00
4.50000E+00,2.15000E+02,0.00000E+00
4.50000E+00,2.25000E+02,0.00000E+00
4.50000E+00,2.35000E+02,0.00000E+00
4.50000E+00,2.45000E+02,0.00000E+00
4.50000E+00,2.55000E+02,0.00000E+00
4.50000E+00,2.65000E+02,0.00000E+00
4.50000E+00,2.75000E+02,0.00000E+00
4.50000E+00,2.85000E+02,0.00000E+00
4.50000E+00,2.95000E+02,0.00000E+00
4.50000E+00,3.05000E+02,0.00000E+00
4.50000E+00,3.15000E+02,0.00000E+00
4.50000E+00,3.25000E+02,0.00000E+00
4.50000E+00,3.35000E+02,0.00000E+00
4.50000E+00,3.45000E+02,0.00000E+00
4.70000E+00,5.00000E+00,0.00000E+00
4.70000E+00,1.50000E+01,0.00000E+00
4.70000E+00,2.50000E+01,0.00000E+00
4.70000E+00,3.50000E+01,0.00000E+00
4.70000E+00,4.50000E+01,0.00000E+00
4.70000E+00,5.50000E+01,0.00000E+00
4.70000E+00,6.50000E+01,0.00000E+00
4.70000E+00,7.50000E+01,0.00000E+00
4.70000E+00,8.50000E+01,0.00000E+00
4.70000E+00,9.50000E+01,0.00000E+00
4.70000E+00,1.05000E+02,0.00000E+00
4.70000E+00,1.15000E+02,0.00000E+00
4.70000E+00,1.25000E+02,0.00000E+00
4.70000E+00,1.35000E+02,0.00000E+00
4.70000E+00,1.45000E+02,0.00000E+00
4.70000E+00,1.55000E+02,0.00000E+00
4.70000E+00,1.65000E+02,0.00000E+00
4.70000E+00,1.75000E+02,0.00000E+00
4.70000E+00,1.85000E+02,0.00000E+00
4.70000E+00,1.95000E+02,0.00000E+00
4.70000E+00,2.05000E+02,0.00000E+00
4.70000E+00,2.15000E+02,0.00000E+00
4.70000E+00,2.25000E+02,0.00000E+00
4.70000E+00,2.35000E+02,0.00000E+00
4.70000E+00,2.45000E+02,0.00000E+00
4.70000E+00,2.55000E+02,0.00000E+00
4.70000E+00,2.65000E+02,0.00000E+00
4.70000E+00,2.75000E+02,0.00000E+00
4.70000E+00,2.85000E+02,0.00000E+00
4.70000E+00,2.95000E+02,0.00000E+00
4.70000E+00,3.05000E+02,0.00000E+00
4.70000E+00,3.15000E+02,0.00000E+00
4.70000E+00,3.25000E+02,0.00000E+00
4.70000E+00,3.35000E+02,0.00000E+00
4.70000E+00,3.45000E+02,0.00000E+00
4.90000E+00,5.00000E+00,0.00000E+00
4.90000E+00,1.50000E+01,0.00000E+00
4.90000E+00,2.50000E+01,0.00000E+00
4.90000E+00,3.50000E+01,0.00000E+00
4.90000E+00,4.50000E+01,0.00000E+00
4.90000E+00,5.50000E+01,0.00000E+00
4.90000E+00,6.50000E+01,0.00000E+00
4.90000E+00,7.50000E+01,0.00000E+00
4.90000E+00,8.50000E+01,0.00000E+00
4.90000E+00,9.50000E+01,0.00000E+00
4.90000E+00,1.05000E+02,0.00000E+00
4.90000E+00,1.15000E+02,0.00000E+00
4.90000E+00,1.25000E+02,0.00000E+00
4.90000E+00,1.35000E+02,0.00000E+00
4.90000E+00,1.45000E+02,0.00000E+00
4.90000E+00,1.55000E+02,0.00000E+00
4.90000E+00,1.65000E+02,0.00000E+00
4.90000E+00,1.75000E+02,0.00000E+00
4.90000E+00,1.85000E+02,0.00000E+00
4.90000E+00,1.95000E+02,0.00000E+00
4.90000E+00,2.05000E+02,0.00000E+00
4.90000E+00,2.15000E+02,0.00000E+00
4.90000E+00,2.25000E+02,0.00000E+00
4.90000E+00,2.35000E+02,0.00000E+00
4.90000E+00,2.45000E+02,0.00000E+00
4.90000E+00,2.55000E+02,0.00000E+00
4.90000E+00,2.65000E+02,0.00000E+00
4.90000E+00,2.75000E+02,0.00000E+00
4.90000E+00,2.85000E+02,0.00000E+00
4.90000E+00,2.95000E+02,0.00000E+00
4.90000E+00,3.05000E+02,0.00000E+00
4.90000E+00,3.15000E+02,0.00000E+00
4.90000E+00,3.25000E+02,0.00000E+00
4.90000E+00,3.35000E+02,0.00000E+00
4.90000E+00,3.45000E+02,0.00000E+00
5.10000E+00,5.00000E+00,0.00000E+00
5.10000E+00,1.50000E+01,0.00000E+00
5.10000E+00,2.50000E+01,0.00000E+00
5.10000E+00,3.50000E+01,0.00000E+00
5.10000E+00,4.50000E+01,0.00000E+00
5.10000E+00,5.50000E+01,0.00000E+00
5.10000E+00,6.50000E+01,0.00000E+00
5.10000E+00,7.50000E+01,0.00000E+00
5.10000E+00,8.50000E+01,0.00000E+00
5.10000E+00,9.50000E+01,0.00000E+00
5.10000E+00,1.05000E+02,0.00000E+00
5.10000E+00,1.15000E+02,0.00000E+00
5.10000E+00,1.25000E+02,0.00000E+00
5.10000E+00,1.35000E+02,0.00000E+00
5.10000E+00,1.45000E+02,0.00000E+00
5.10000E+00,1.55000E+02,0.00000E+00
5.10000E+00,1.65000E+02,0.00000E+00
5.10000E+00,1.75000E+02,0.00000E+00
5.10000E+00,1.85000E+02,0.00000E+00
5.10000E+00,1.95000E+02,0.00000E+00
5.10000E+00,2.05000E+02,0.00000E+00
5.10000E+00,2.15000E+02,0.00000E+00
5.10000E+00,2.25000E+02,0.00000E+00
5.10000E+00,2.35000E+02,0.00000E+00
5.10000E+00,2.45000E+02,0.00000E+00
5.10000E+00,2.55000E+02,0.00000E+00
5.10000E+00,2.65000E+02,0.00000E+00
5.10000E+00,2.75000E+02,0.00000E+00
5.10000E+00,2.85000E+02,0.00000E+00
5.10000E+00,2.95000E+02,0.00000E+00
5.10000E+00,3.05000E+02,0.00000E+00
5.10000E+00,3.15000E+02,0.00000E+00
5.10000E+00,3.25000E+02,0.00000E+00
5.10000E+00,3.35000E+02,0.00000E+00
5.10000E+00,3.45000E+02,0.00000E+00
5.30000E+00,5.00000E+00,0.00000E+00
5.30000E+00,1.50000E+01,0.00000E+00
5.30000E+00,2.50000E+01,0.00000E+00
5.30000E+00,3.50000E+01,0.00000E+00
5.30000E+00,4.50000E+01,0.00000E+00
5.30000E+00,5.50000E+01,0.00000E+00
5.30000E+00,6.50000E+01,0.00000E+00
5.30000E+00,7.50000E+01,0.00000E+00
5.30000E+00,8.50000E+01,0.00000E+00
5.30000E+00,9.50000E+01,0.00000E+00
5.30000E+00,1.05000E+02,0.00000E+00
5.30000E+00,1.15000E+02,0.00000E+00
5.30000E+00,1.25000E+02,0.00000E+00
5.30000E+00,1.35000E+02,0.00000E+00
5.30000E+00,1.45000E+02,0.00000E+00
5.30000E+00,1.55000E+02,0.00000E+00
5.30000E+00,1.65000E+02,0.00000E+00
5.30000E+00,1.75000E+02,0.00000E+00
5.30000E+00,1.85000E+02,0.00000E+00
5.30000E+00,1.95000E+02,0.00000E+00
5.30000E+00,2.05000E+02,0.00000E+00
5.30000E+00,2.15000E+02,0.00000E+00
5.30000E+00,2.25000E+02,0.00000E+00
5.30000E+00,2.35000E+02,0.00000E+00
5.30000E+00,2.45000E+02,0.00000E+00
5.30000E+00,2.55000E+02,0.00000E+00
5.30000E+00,2.65000E+02,0.00000E+00
5.30000E+00,2.75000E+02,0.00000E+00
5.30000E+00,2.85000E+02,0.00000E+00
5.30000E+00,2.95000E+02,0.00000E+00
5.30000E+00,3.05000E+02,0.00000E+00
5.30000E+00,3.15000E+02,0.00000E+00
5.30000E+00,3.25000E+02,0.00000E+00
5.30000E+00,3.35000E+02,0.00000E+00
5.30000E+00,3.45000E+02,0.00000E+00
5.50000E+00,5.00000E+00,0.00000E+00
5.50000E+00,1.50000E+01,0.00000E+00
5.50000E+00,2.50000E+01,0.00000E+00
5.50000E+00,3.50000E+01,0.00000E+00
5.50000E+00,4.50000E+01,0.00000E+00
5.50000E+00,5.50000E+01,0.00000E+00
5.50000E+00,6.50000E+01,0.00000E+00
5.50000E+00,7.50000E+01,0.00000E+00
5.50000E+00,8.50000E+01,0.00000E+00
5.50000E+00,9.50000E+01,0.00000E+00
5.50000E+00,1.05000E+02,0.00000E+00
5.50000E+00,1.15000E+02,0.00000E+00
5.50000E+00,1.25000E+02,0.00000E+00
5.50000E+00,1.35000E+02,0.00000E+00
5.50000E+00,1.45000E+02,0.00000E+00
5.50000E+00,1.55000E+02,0.00000E+00
5.50000E+00,1.65000E+02,0.00000E+00
5.50000E+00,1.75000E+02,0.00000E+00
5.50000E+00,1.85000E+02,0.00000E+00
5.50000E+00,1.95000E+02,0.00000E+00
5.50000E+00,2.05000E+02,0.00000E+00
5.50000E+00,2.15000E+02,0.00000E+00
5.50000E+00,2.25000E+02,0.00000E+00
5.50000E+00,2.35000E+02,0.00000E+00
5.50000E+00,2.45000E+02,0.00000E+00
5.50000E+00,2.55000E+02,0.00000E+00
5.50000E+00,2.65000E+02,0.00000E+00
5.50000E+00,2.75000E+02,0.00000E+00
5.50000E+00,2.85000E+02,0.00000E+00
5.50000E+00,2.95000E+02,0.00000E+00
5.50000E+00,3.05000E+02,0.00000E+00
5.50000E+00,3.15000E+02,0.00000E+00
5.50000E+00,3.25000E+02,0.00000E+00
5.50000E+00,3.35000E+02,0.00000E+00
5.50000E+00,3.45000E+02,0.00000E+00
5.70000E+00,5.00000E+00,0.00000E+00
5.70000E+00,1.50000E+01,0.00000E+00
5.70000E+00,2.50000E+01,0.00000E+00
5.70000E+00,3.50000E+01,0.00000E+00
5.70000E+00,4.50000E+01,0.00000E+00
5.70000E+00,5.50000E+01,0.00000E+00
5.70000E+00,6.50000E+01,0.00000E+00
5.70000E+00,7.50000E+01,0.00000E+00
5.70000E+00,8.50000E+01,0.00000E+00
5.70000E+00,9.50000E+01,0.00000E+00
5.70000E+00,1.05000E+02,0.00000E+00
5.70000E+00,1.15000E+02,0.00000E+00
5.70000E+00,1.25000E+02,0.00000E+00
5.70000E+00,1.35000E+02,0.00000E+00
5.70000E+00,1.45000E+02,0.00000E+00
5.70000E+00,1.55000E+02,0.00000E+00
5.70000E+00,1.65000E+02,0.00000E+00
5.70000E+00,1.75000E+02,0.00000E+00
5.70000E+00,1.85000E+02,0.00000E+00
5.70000E+00,1.95000E+02,0.00000E+00
5.70000E+00,2.05000E+02,0.00000E+00
5.70000E+00,2.15000E+02,0.00000E+00
5.70000E+00,2.25000E+02,0.00000E+00
5.70000E+00,2.35000E+02,0.00000E+00
5.70000E+00,2.45000E+02,0.00000E+00
5.70000E+00,2.55000E+02,0.00000E+00
5.70000E+00,2.65000E+02,0.00000E+00
5.70000E+00,2.75000E+02,0.00000E+00
5.70000E+00,2.85000E+02,0.00000E+00
5.70000E+00,2.95000E+02,0.00000E+00
5.70000E+00,3.05000E+02,0.00000E+00
5.70000E+00,3.15000E+02,0.00000E+00
5.70000E+00,3.25000E+02,0.00000E+00
5.70000E+00,3.35000E+02,0.00000E+00
5.70000E+00,3.45000E+02,0.00000E+00
5.90000E+00,5.00000E+00,0.00000E+00
5.90000E+00,1.50000E+01,0.00000E+00
5.90000E+00,2.50000E+01,0.00000E+00
5.90000E+00,3.50000E+01,0.00000E+00
5.90000E+00,4.50000E+01,0.00000E+00
5.90000E+00,5.50000E+01,0.00000E+00
5.90000E+00,6.50000E+01,0.00000E+00
5.90000E+00,7.50000E+01,0.00000E+00
5.90000E+00,8.50000E+01,0.00000E+00
5.90000E+00,9.50000E+01,0.00000E+00
5.90000E+00,1.05000E+02,0.00000E+00
5.90000E+00,1.15000E+02,3.91433E-05
5.90000E+00,1.25000E+02,9.66028E-06
5.90000E+00,1.35000E+02,1.36054E-07
5.90000E+00,1.45000E+02,0.00000E+00
5.90000E+00,1.55000E+02,0.00000E+00
5.90000E+00,1.65000E+02,0.00000E+00
5.90000E+00,1.75000E+02,0.00000E+00
5.90000E+00,1.85000E+02,0.00000E+00
5.90000E+00,1.95000E+02,0.00000E+00
5.90000E+00,2.05000E+02,0.00000E+00
5.90000E+00,2.15000E+02,0.00000E+00
5.90000E+00,2.25000E+02,0.00000E+00
5.90000E+00,2.35000E+02,0.00000E+00
5.90000E+00,2.45000E+02,0.00000E+00
5.90000E+00,2.55000E+02,0.00000E+00
5.90000E+00,2.65000E+02,0.00000E+00
5.90000E+00,2.75000E+02,0.00000E+00
5.90000E+00,2.85000E+02,0.00000E+00
5.90000E+00,2.95000E+02,0.00000E+00
5.90000E+00,3.05000E+02,0.00000E+00
5.90000E+00,3.15000E+02,0.00000E+00
5.90000E+00,3.25000E+02,0.00000E+00
5.90000E+00,3.35000E+02,0.00000E+00
5.90000E+00,3.45000E+02,0.00000E+00
6.10000E+00,5.00000E+00,0.00000E+00
6.10000E+00,1.50000E+01,0.00000E+00
6.10000E+00,2.50000E+01,0.00000E+00
6.10000E+00,3.50000E+01,0.00000E+00
6.10000E+00,4.50000E+01,0.00000E+00
6.10000E+00,5.50000E+01,0.00000E+00
6.10000E+00,6.50000E+01,0.00000E+00
6.10000E+00,7.50000E+01,0.00000E+00
6.10000E+00,8.50000E+01,0.00000E+00
6.10000E+00,9.50000E+01,0.00000E+00
6.10000E+00,1.05000E+02,0.00000E+00
6.10000E+00,1.15000E+02,1.15087E-04
6.10000E+00,1.25000E+02,5.31677E-05
6.10000E+00,1.35000E+02,2.07464E-05
6.10000E+00,1.45000E+02,4.52188E-06
6.10000E+00,1.55000E+02,0.00000E+00
6.10000E+00,1.65000E+02,0.00000E+00
6.10000E+00,1.75000E+02,0.00000E+00
6.10000E+00,1.85000E+02,0.00000E+00
6.10000E+00,1.95000E+02,0.00000E+00
6.10000E+00,2.05000E+02,0.00000E+00
6.10000E+00,2.15000E+02,0.00000E+00
6.10000E+00,2.25000E+02,0.00000E+00
6.10000E+00,2.35000E+02,0.00000E+00
6.10000E+00,2.45000E+02,0.00000E+00
6.10000E+00,2.55000E+02,0.00000E+00
6.10000E+00,2.65000E+02,0.00000E+00
6.10000E+00,2.75000E+02,0.00000E+00
6.10000E+00,2.85000E+02,0.00000E+00
6.10000E+00,2.95000E+02,0.00000E+00
6.10000E+00,3.05000E+02,0.00000E+00
6.10000E+00,3.15000E+02,0.00000E+00
6.10000E+00,3.25000E+02,0.00000E+00
